time	V(n002)	V(n003)
2.081901357060750e-02	1.428633e+00	6.941728e+00
2.093901357060750e-02	1.452711e+00	6.852206e+00
2.105901357060749e-02	1.494604e+00	6.730890e+00
2.117901357060749e-02	1.550533e+00	6.588732e+00
2.129901357060748e-02	1.615452e+00	6.438563e+00
2.141901357060748e-02	1.683500e+00	6.293941e+00
2.153901357060747e-02	1.748534e+00	6.167920e+00
2.165901357060747e-02	1.804685e+00	6.071876e+00
2.177901357060746e-02	1.846882e+00	6.014479e+00
2.187624034699359e-02	1.868211e+00	6.000002e+00
2.191451967873195e-02	1.873101e+00	6.002464e+00
2.197680981823896e-02	1.876602e+00	6.016279e+00
2.207758305999438e-02	1.870529e+00	6.063420e+00
2.219758305999438e-02	1.845087e+00	6.155519e+00
2.231758305999437e-02	1.802049e+00	6.278715e+00
2.243758305999437e-02	1.745298e+00	6.421886e+00
2.255758305999436e-02	1.679955e+00	6.572109e+00
2.267758305999436e-02	1.611918e+00	6.715822e+00
2.279758305999435e-02	1.547330e+00	6.840053e+00
2.291758305999435e-02	1.492021e+00	6.933588e+00
2.303758305999434e-02	1.450983e+00	6.987981e+00
2.312956793788122e-02	1.431515e+00	6.999967e+00
2.316993799485192e-02	1.426608e+00	6.996814e+00
2.323561338064117e-02	1.423586e+00	6.980803e+00
2.334172204723725e-02	1.431699e+00	6.927646e+00
2.346172204723725e-02	1.459366e+00	6.831388e+00
2.358172204723724e-02	1.504249e+00	6.705216e+00
2.370172204723724e-02	1.562298e+00	6.560519e+00
2.382172204723723e-02	1.628275e+00	6.410359e+00
2.394172204723723e-02	1.696223e+00	6.268291e+00
2.406172204723722e-02	1.760009e+00	6.147139e+00
2.418172204723722e-02	1.813875e+00	6.057840e+00
2.430172204723721e-02	1.852959e+00	6.008455e+00
2.438500411136536e-02	1.869515e+00	6.000158e+00
2.442878921765709e-02	1.874394e+00	6.004562e+00
2.449998313155298e-02	1.876485e+00	6.024465e+00
2.461472730005958e-02	1.864707e+00	6.088039e+00
2.473472730005957e-02	1.833493e+00	6.190801e+00
2.485472730005957e-02	1.785729e+00	6.321474e+00
2.497472730005956e-02	1.725725e+00	6.468263e+00
2.509472730005957e-02	1.658896e+00	6.617917e+00
2.521472730005958e-02	1.591274e+00	6.756926e+00
2.533472730005959e-02	1.528964e+00	6.872742e+00
2.545472730005960e-02	1.477591e+00	6.954911e+00
2.557472730005961e-02	1.441792e+00	6.996014e+00
2.564373059241792e-02	1.429534e+00	6.999446e+00
2.569299502447489e-02	1.424845e+00	6.992717e+00
2.577300992095294e-02	1.424627e+00	6.965803e+00
2.589300992095295e-02	1.441214e+00	6.890796e+00
2.601300992095296e-02	1.476644e+00	6.780511e+00
2.613300992095297e-02	1.527730e+00	6.644905e+00
2.625300992095297e-02	1.589862e+00	6.496218e+00
2.637300992095298e-02	1.657433e+00	6.347872e+00
2.649300992095299e-02	1.724344e+00	6.213259e+00
2.661300992095300e-02	1.784554e+00	6.104530e+00
2.673300992095301e-02	1.832628e+00	6.031501e+00
2.685300992095302e-02	1.864227e+00	6.000763e+00
2.690431966240550e-02	1.871984e+00	6.001357e+00
2.696022508222984e-02	1.876202e+00	6.011426e+00
2.705086505974061e-02	1.873534e+00	6.048050e+00
2.717086505974062e-02	1.852381e+00	6.131979e+00
2.729086505974063e-02	1.812976e+00	6.249128e+00
2.741086505974064e-02	1.758872e+00	6.388924e+00
2.753086505974064e-02	1.694951e+00	6.538747e+00
2.765086505974065e-02	1.626983e+00	6.685072e+00
2.777086505974066e-02	1.561103e+00	6.814691e+00
2.789086505974067e-02	1.503258e+00	6.915902e+00
2.801086505974068e-02	1.458670e+00	6.979569e+00
2.811909871907714e-02	1.433171e+00	6.999945e+00
2.816030646729745e-02	1.427576e+00	6.998033e+00
2.821996107447466e-02	1.423749e+00	6.985827e+00
2.831656205963937e-02	1.428344e+00	6.943162e+00
2.843656205963938e-02	1.452029e+00	6.854386e+00
2.855656205963938e-02	1.493590e+00	6.733618e+00
2.867656205963939e-02	1.549280e+00	6.591762e+00
2.879656205963940e-02	1.614072e+00	6.441622e+00
2.891656205963941e-02	1.682117e+00	6.296752e+00
2.903656205963942e-02	1.747274e+00	6.170229e+00
2.915656205963943e-02	1.803660e+00	6.073475e+00
2.927656205963944e-02	1.846185e+00	6.015224e+00
2.937528341845383e-02	1.868060e+00	6.000000e+00
2.941296149550526e-02	1.872940e+00	6.002274e+00
2.947427723724247e-02	1.876566e+00	6.015483e+00
2.957350974864656e-02	1.871050e+00	6.060947e+00
2.969350974864657e-02	1.846255e+00	6.151827e+00
2.981350974864658e-02	1.803759e+00	6.274136e+00
2.993350974864659e-02	1.747395e+00	6.416834e+00
3.000000000000000e-02	1.711875e+00	6.500000e+00
